,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss
,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,max,max,max,max,max,max
step,,,,,,,,,,,,,,,,,,
0,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,
490,,0.0002800000074785203,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
496,,,25.230278778076173,49.0,,,,,23.32676887512207,49.0,,,,,28.739543914794922,49.0,,
499,,,,49.0,33.223960876464844,,,,,49.0,32.35918426513672,,,,,49.0,34.41459655761719,
500,,0.0002800000074785203,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
503,,,31.44016342163086,50.0,,,,,29.033336639404297,50.0,,,,,33.09278869628906,50.0,,
509,,,,50.0,34.536824798583986,,,,,50.0,33.70914077758789,,,,,50.0,35.93893051147461,
510,,0.0002800000074785203,38.65409698486328,51.0,,,,9.999999747378752e-05,36.04253387451172,51.0,,,,0.0010000000474974513,42.582481384277344,51.0,,
517,,,30.953362655639648,51.0,,,,,28.748340606689453,51.0,,,,,32.61321258544922,51.0,,
519,,,,51.0,33.87657012939453,,,,,51.0,32.628849029541016,,,,,51.0,34.93505096435547,
520,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,
524,,,27.769528579711913,52.0,,,,,24.09864044189453,52.0,,,,,29.433849334716797,52.0,,
529,,,,52.0,33.877436828613284,,,,,52.0,32.37500762939453,,,,,52.0,35.79115295410156,
530,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,
531,,,19.70072135925293,53.0,,,,,18.657625198364258,53.0,,,,,20.808242797851562,53.0,,
538,,,37.813961791992185,53.0,,,,,36.791378021240234,53.0,,,,,39.36451721191406,53.0,,
539,,,,53.0,31.624864959716795,,,,,53.0,30.839717864990234,,,,,53.0,32.13850784301758,
540,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,
545,,,40.28597717285156,54.0,,,,,38.976295471191406,54.0,,,,,41.46528625488281,54.0,,
549,,,,54.0,32.118014907836915,,,,,54.0,31.58450698852539,,,,,54.0,32.62649154663086,
550,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,,,9.999999747378752e-05,,,,
552,,,34.15786514282227,55.0,,,,,31.930950164794922,55.0,,,,,35.380130767822266,55.0,,
559,,,29.424388885498047,55.0,32.41518020629883,,,,27.550586700439453,55.0,31.945537567138672,,,,31.016752243041992,55.0,33.03294372558594,
560,,8.199999792850577e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
566,,,28.949188232421875,56.0,,,,,24.68840789794922,56.0,,,,,31.967626571655273,56.0,,
569,,,,56.0,34.254241180419925,,,,,56.0,33.950836181640625,,,,,56.0,34.90127182006836,
570,,6.399999838322402e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
573,,,42.263885498046875,57.0,,,,,40.52643966674805,57.0,,,,,44.337440490722656,57.0,,
579,,,,57.0,33.9726058959961,,,,,57.0,33.10404586791992,,,,,57.0,34.5202522277832,
580,,6.399999838322402e-05,58.03334121704101,58.0,,,,9.999999747378752e-06,54.012847900390625,58.0,,,,9.999999747378752e-05,60.690460205078125,58.0,,
587,,,34.13024139404297,58.0,,,,,32.059303283691406,58.0,,,,,37.22285461425781,58.0,,
589,,,,58.0,33.07653579711914,,,,,58.0,32.18672561645508,,,,,58.0,33.50763702392578,
590,,6.399999838322402e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
594,,,36.46240081787109,59.0,,,,,32.779571533203125,59.0,,,,,39.7471923828125,59.0,,
599,,,,59.0,31.862606811523438,,,,,59.0,31.27859115600586,,,,,59.0,32.21445846557617,
600,,4.599999883794226e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
601,,,19.643672943115234,60.0,,,,,17.667150497436523,60.0,,,,,22.3435115814209,60.0,,
608,,,30.31739616394043,60.0,,,,,25.30704116821289,60.0,,,,,32.58279800415039,60.0,,
609,,,,60.0,33.43586196899414,,,,,60.0,32.34663009643555,,,,,60.0,34.25825500488281,
